t,H=0.1,H=0.2,H=0.3,H=0.4
2.050000000000000155e-01,1.080853068497327651e+00,8.792776132485173868e-01,9.852945088769134996e-01,1.011951508265885424e+00
2.060000000000000164e-01,1.058070923362600446e+00,8.646890873539402333e-01,9.761474606837068357e-01,1.012578333371597417e+00
2.070000000000000173e-01,1.060011332357200242e+00,8.771211408339346649e-01,9.874124481861572544e-01,1.010441826654819852e+00
2.080000000000000182e-01,1.056221429702059122e+00,8.818291942461676802e-01,1.004658688641713482e+00,1.019940705001905590e+00
2.089999999999999913e-01,1.080389314876918805e+00,8.780839591373462705e-01,1.003192876388377730e+00,1.009949219435412937e+00
2.099999999999999922e-01,1.118256768852782468e+00,8.476808254952971078e-01,1.020889141115277177e+00,1.019669101771820241e+00
2.109999999999999931e-01,1.098384908266138549e+00,7.736241553186722353e-01,1.026879769963117139e+00,1.024502291776711260e+00
2.119999999999999940e-01,1.041995683461917732e+00,8.252619006180276218e-01,1.030412911987639291e+00,1.032882756361420462e+00
2.129999999999999949e-01,1.133904568279421987e+00,8.614321276058363175e-01,1.005861010283465085e+00,1.030701080189302177e+00
2.139999999999999958e-01,1.085130579474314017e+00,8.381505386123991874e-01,1.008315798464536117e+00,1.026621557716757005e+00
2.149999999999999967e-01,1.094542952188485962e+00,8.193091407633914525e-01,1.003984997141150082e+00,1.039807438721309207e+00
2.159999999999999976e-01,1.108845073216289556e+00,8.261326439450700221e-01,9.972158703837509242e-01,1.046132838352705319e+00
2.169999999999999984e-01,1.037113734682374666e+00,8.322983235919598766e-01,9.918654499905604771e-01,1.049091025491588614e+00
2.179999999999999993e-01,1.123181502883468186e+00,8.313110882881568076e-01,9.830519815441520759e-01,1.037270445126214025e+00
2.190000000000000002e-01,1.087298931253227074e+00,8.184345841544270472e-01,9.654110278282589386e-01,1.030805375708077287e+00
2.200000000000000011e-01,1.120652538043713120e+00,8.086671941885230641e-01,9.786987620056498693e-01,1.024696175462254111e+00
2.210000000000000020e-01,1.106728859719429137e+00,8.231824604228034081e-01,9.762822867535168037e-01,1.023897170045571903e+00
2.220000000000000029e-01,1.028979958281009521e+00,8.184854363063976956e-01,9.921200808346575251e-01,1.028031917131938311e+00
