t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
1.449999999999999900e-01,5.076526088612767218e-01,-2.083915884590281375e-01,6.098936482221177513e-02,-6.550321937468976674e-02,6.009694601888531523e-03
1.459999999999999909e-01,4.762959811669017496e-01,-1.911411096480553073e-01,1.089493647650953689e-01,-7.408738380773316479e-02,5.605175322770493927e-03
1.469999999999999918e-01,4.965328156935467363e-01,-1.346435803668099562e-01,1.100743316230134994e-01,-5.504810774070809098e-02,-7.601125186929177241e-03
1.479999999999999927e-01,5.497852674319004818e-01,-1.343922782834344742e-01,7.114427536060474733e-02,-1.179645367625844071e-01,-2.897188990970142597e-02
1.489999999999999936e-01,5.728069932970866196e-01,-1.132752096199405589e-01,5.616451181222287259e-02,-5.657165240499394121e-02,-2.437388762325923275e-02
1.499999999999999944e-01,5.149765204805345498e-01,-1.216434272717560328e-01,6.380461961784110458e-02,-4.650184727054763878e-02,-3.430228446383358498e-02
1.509999999999999953e-01,5.382799000827163116e-01,-1.035968577046451067e-01,6.354421693601569610e-02,-1.099672798576208782e-02,3.282596083855057051e-03
1.519999999999999962e-01,5.925580934678683631e-01,-1.049327582672832382e-01,1.065857096035432994e-01,3.789841025893209148e-02,2.056583536177308130e-02
1.529999999999999971e-01,6.769204280602660884e-01,-9.819953945401076190e-02,1.141586834892420743e-01,-1.478191039500850734e-04,1.205304232605564074e-02
1.539999999999999980e-01,6.385308812635563935e-01,-8.597887263475394171e-02,7.913366185959548604e-02,-3.889679815913709565e-02,2.723244999428428223e-02
1.549999999999999989e-01,6.509419225441043233e-01,-1.340770997456374736e-01,5.433797793655201214e-02,-6.627834009080357802e-02,-1.173189028575812379e-02
1.559999999999999998e-01,7.363649916253535155e-01,-9.712556865098774528e-02,6.838738785902917505e-02,-4.002473935222541912e-02,-8.642093384839420744e-03
1.570000000000000007e-01,7.461416507047009539e-01,-2.180158151348815521e-02,1.016721399705663859e-01,-5.586738734267301942e-02,-8.358922282883134158e-02
1.580000000000000016e-01,7.557932027406906172e-01,-6.390603539261607846e-02,6.152203047068952046e-02,-8.112298238772386316e-02,-4.999264626150493052e-02
1.590000000000000024e-01,7.625014099561356895e-01,-5.079314296141775736e-02,2.763269551451624090e-02,-2.407526480440753958e-02,-3.389493294498602260e-02
